temperature,precipitation,vent,humidite,condition,activite
-0.3,4.7,28.6,93.2,2,Musée / Expo
9.6,2.6,66.1,78.9,2,Sport en salle
18.6,0.7,27.0,84.5,1,Balade en ville
13.3,0.5,19.4,89.8,1,Randonnée en forêt
17.4,0.4,15.9,73.0,1,Balade en ville
9.5,8.7,30.6,91.8,3,Cinéma
11.2,1.1,15.2,85.9,1,Randonnée en forêt
12.0,5.8,22.1,80.1,3,Sport en salle
19.3,0.0,5.4,48.6,0,Balade à vélo
7.9,5.4,34.8,77.3,3,Musée / Expo
20.4,0.0,9.5,59.1,0,Pique-nique au parc
24.8,0.0,14.7,57.3,0,Pique-nique au parc
20.1,0.0,13.1,49.2,0,Pique-nique au parc
0.3,4.9,15.0,72.4,2,Sport en salle
30.7,8.1,48.6,72.2,3,Cinéma
4.3,4.8,18.0,86.1,2,Musée / Expo
1.0,4.7,11.9,93.8,2,Sport en salle
33.8,0.0,13.5,41.8,0,Barbecue
24.8,0.0,2.6,55.5,0,Pique-nique au parc
24.0,0.0,8.7,51.8,0,Pique-nique au parc
34.1,10.5,31.5,81.6,3,Cinéma
22.4,0.2,14.0,87.3,1,Balade à vélo
16.4,2.5,22.4,90.5,1,Balade en ville
19.6,0.0,0.5,64.5,0,Pique-nique au parc
10.9,9.6,57.5,86.3,3,Cinéma
-0.5,5.2,47.0,82.8,3,Sport en salle
18.4,0.0,14.1,63.7,0,Pique-nique au parc
17.4,0.6,8.3,70.3,1,Randonnée en forêt
-3.1,3.8,29.5,75.2,2,Musée / Expo
34.8,8.2,44.8,93.2,3,Cinéma
28.5,0.0,13.7,55.1,0,Pique-nique au parc
16.7,0.2,19.8,80.1,1,Balade à vélo
8.5,3.3,56.9,75.0,2,Sport en salle
27.0,0.0,14.2,63.6,0,Barbecue
29.9,0.0,10.0,33.1,0,Barbecue
16.7,5.4,28.1,89.8,3,Cinéma
14.8,7.8,50.8,90.8,3,Cinéma
-1.9,5.3,38.4,70.7,3,Musée / Expo
29.5,0.0,14.3,57.1,0,Pique-nique au parc
-0.6,7.7,30.0,83.7,3,Musée / Expo
2.1,11.2,32.3,91.9,3,Sport en salle
17.0,0.7,20.5,94.4,1,Randonnée en forêt
-4.0,7.8,13.0,93.3,3,Sport en salle
21.6,0.3,18.8,83.4,1,Balade à vélo
26.8,0.0,0.4,40.1,0,Pique-nique au parc
-4.4,3.1,64.1,89.2,2,Sport en salle
20.1,0.8,15.1,78.3,1,Randonnée en forêt
33.7,14.1,43.4,80.9,3,Cinéma
9.7,7.0,21.5,78.9,3,Musée / Expo
8.5,8.5,53.0,75.6,3,Cinéma
0.2,7.3,10.0,84.4,3,Sport en salle
8.0,6.1,44.8,70.6,3,Sport en salle
24.2,0.0,5.1,49.7,0,Barbecue
14.0,0.7,12.8,94.0,1,Randonnée en forêt
22.8,0.0,11.9,30.6,0,Pique-nique au parc
31.5,8.8,30.4,77.4,3,Cinéma
11.1,0.1,2.3,73.7,1,Randonnée en forêt
17.4,0.1,3.2,74.3,1,Balade à vélo
15.6,0.8,14.7,71.0,1,Balade en ville
20.7,0.0,1.7,40.9,0,Pique-nique au parc
25.7,0.0,2.8,52.3,0,Pique-nique au parc
12.9,0.1,1.9,74.2,1,Randonnée en forêt
17.0,0.9,6.6,87.5,1,Balade en ville
11.3,2.4,18.3,75.4,1,Balade en ville
0.4,5.8,23.3,90.1,3,Sport en salle
25.6,11.6,42.6,82.8,3,Cinéma
27.2,0.0,4.9,49.4,0,Pique-nique au parc
31.0,0.0,7.0,39.3,0,Barbecue
26.8,0.0,9.0,61.7,0,Barbecue
27.5,9.5,62.6,81.8,3,Cinéma
26.9,0.0,2.2,64.5,0,Barbecue
-4.6,7.5,34.2,70.0,3,Musée / Expo
20.3,2.4,26.4,82.3,1,Balade en ville
27.9,0.0,4.9,30.1,0,Barbecue
4.2,3.9,20.0,78.2,2,Sport en salle
30.4,0.0,2.6,54.9,0,Pique-nique au parc
23.7,12.5,65.2,82.0,3,Cinéma
16.9,0.0,3.9,53.3,0,Balade à vélo
23.6,0.0,3.4,36.5,0,Pique-nique au parc
10.8,4.5,13.0,85.0,2,Sport en salle
-3.4,6.9,55.0,85.2,3,Cinéma
3.7,3.7,35.6,75.7,2,Musée / Expo
10.5,12.8,27.5,89.2,3,Cinéma
20.9,1.2,27.1,70.1,1,Balade en ville
28.3,0.0,2.1,40.0,0,Barbecue
10.3,4.6,46.9,93.7,2,Sport en salle
14.6,0.8,18.1,83.5,1,Randonnée en forêt
14.1,8.9,13.4,93.9,3,Musée / Expo
20.9,0.4,13.9,77.2,1,Randonnée en forêt
22.7,0.0,6.1,35.3,0,Barbecue
27.9,0.0,14.2,56.5,0,Barbecue
17.7,13.2,29.7,70.3,3,Cinéma
15.4,0.5,3.1,76.6,1,Randonnée en forêt
31.6,0.0,10.4,37.3,0,Barbecue
17.7,12.1,68.7,93.2,3,Cinéma
25.5,0.0,3.5,33.9,0,Barbecue
11.4,1.1,15.2,86.6,1,Randonnée en forêt
0.2,11.1,29.8,79.2,3,Sport en salle
18.7,0.0,9.1,45.7,0,Pique-nique au parc
18.7,0.2,23.0,72.6,1,Randonnée en forêt
20.3,0.0,0.3,59.3,0,Barbecue
23.6,0.1,12.6,71.0,1,Balade à vélo
4.1,6.9,66.2,83.0,3,Cinéma
30.9,0.0,13.6,40.1,0,Pique-nique au parc
21.4,0.0,9.0,31.3,0,Balade à vélo
29.3,0.0,3.9,48.5,0,Barbecue
30.1,0.0,5.4,43.8,0,Barbecue
19.1,0.0,2.1,62.4,0,Pique-nique au parc
28.3,0.0,10.6,51.9,0,Barbecue
22.8,0.4,13.1,84.2,1,Balade à vélo
4.2,9.9,54.9,77.6,3,Cinéma
3.7,12.6,20.2,73.2,3,Cinéma
14.3,7.1,39.8,76.6,3,Musée / Expo
9.4,4.7,15.5,94.9,2,Musée / Expo
15.5,13.3,65.8,91.8,3,Cinéma
33.0,0.0,10.4,64.7,0,Barbecue
15.9,0.7,8.5,84.6,1,Randonnée en forêt
9.5,14.4,62.4,71.6,3,Cinéma
20.3,0.4,12.6,73.5,1,Balade à vélo
21.7,0.1,24.6,72.5,1,Balade en ville
29.9,0.0,3.7,57.7,0,Pique-nique au parc
31.5,8.5,51.8,77.3,3,Cinéma
19.5,0.4,13.9,79.3,1,Randonnée en forêt
16.8,0.8,1.3,79.4,1,Balade en ville
19.3,1.3,8.3,81.4,1,Randonnée en forêt
23.9,2.0,6.4,78.5,1,Balade en ville
15.7,1.5,18.3,86.6,1,Randonnée en forêt
17.4,0.0,6.5,61.1,0,Balade à vélo
14.7,0.9,16.3,77.0,1,Balade en ville
-2.8,2.3,20.2,78.3,2,Musée / Expo
34.5,0.0,1.9,64.3,0,Barbecue
22.2,0.0,4.8,32.0,0,Pique-nique au parc
11.7,5.2,41.7,94.3,3,Sport en salle
22.1,0.3,10.0,73.4,1,Balade à vélo
30.1,0.0,1.5,50.5,0,Pique-nique au parc
3.6,5.2,22.4,82.4,3,Musée / Expo
21.5,0.0,5.0,46.8,0,Pique-nique au parc
-5.0,13.4,63.1,88.9,3,Sport en salle
22.1,0.0,5.1,47.4,0,Pique-nique au parc
22.6,0.7,9.4,85.3,1,Balade en ville
21.1,0.3,2.6,81.0,1,Balade à vélo
5.8,6.8,49.3,92.8,3,Cinéma
22.9,0.1,14.2,90.5,1,Balade en ville
14.2,1.3,12.2,92.9,1,Randonnée en forêt
29.7,0.0,6.2,43.7,0,Barbecue
18.3,1.3,20.3,77.8,1,Randonnée en forêt
22.8,13.9,63.3,74.5,3,Cinéma
20.7,0.6,23.6,79.4,1,Randonnée en forêt
17.3,0.3,15.0,93.7,1,Balade à vélo
25.3,0.0,0.5,33.9,0,Pique-nique au parc
24.5,0.1,2.4,78.8,1,Balade en ville
-4.3,5.9,33.1,72.5,3,Musée / Expo
27.1,0.0,14.2,48.5,0,Pique-nique au parc
4.4,8.0,33.7,75.4,3,Musée / Expo
24.5,0.0,13.9,33.6,0,Pique-nique au parc
18.6,0.0,10.9,62.8,0,Pique-nique au parc
28.4,0.0,0.4,42.4,0,Pique-nique au parc
12.9,0.9,14.1,75.1,1,Randonnée en forêt
17.9,0.2,6.1,76.9,1,Balade à vélo
21.0,0.0,4.1,60.0,0,Barbecue
-4.7,10.2,33.4,70.4,3,Sport en salle
-3.3,7.8,33.1,76.8,3,Cinéma
12.0,0.6,27.6,70.8,1,Balade en ville
10.5,9.3,33.0,83.1,3,Musée / Expo
19.4,0.0,17.1,42.8,0,Balade à vélo
10.8,5.2,32.3,70.5,3,Musée / Expo
-0.7,12.2,66.1,82.5,3,Cinéma
13.1,1.2,21.9,82.6,1,Balade en ville
6.8,13.8,58.0,78.4,3,Cinéma
10.5,1.3,3.5,89.4,1,Randonnée en forêt
1.8,5.2,19.7,81.8,3,Musée / Expo
22.7,0.0,5.2,42.1,0,Barbecue
3.5,1.5,19.6,81.5,2,Musée / Expo
22.6,0.0,7.3,59.9,0,Barbecue
15.5,5.6,68.4,71.0,3,Cinéma
4.5,1.2,34.4,77.4,2,Musée / Expo
11.8,12.7,18.2,92.6,3,Sport en salle
17.3,0.8,11.2,75.6,1,Randonnée en forêt
21.1,0.0,12.6,33.1,0,Barbecue
21.9,0.0,8.7,63.6,0,Barbecue
5.4,4.6,15.2,92.1,2,Musée / Expo
24.8,0.0,4.5,32.1,0,Barbecue
15.7,8.6,43.3,72.0,3,Cinéma
20.6,0.2,18.9,87.5,1,Balade à vélo
20.5,0.5,14.9,77.2,1,Balade en ville
1.6,5.6,32.6,87.0,3,Sport en salle
-9.0,5.3,16.5,91.7,3,Sport en salle
23.7,0.1,19.9,83.7,1,Balade à vélo
27.9,10.9,41.6,75.6,3,Cinéma
1.2,10.3,20.9,78.7,3,Cinéma
26.6,0.0,15.0,40.4,0,Pique-nique au parc
20.9,0.3,14.3,71.5,1,Randonnée en forêt
-1.6,5.3,46.2,83.0,3,Sport en salle
15.6,0.3,1.8,73.4,1,Balade en ville
21.4,0.0,13.9,57.2,0,Barbecue
23.7,1.9,4.0,82.5,1,Balade en ville
4.3,9.9,35.0,91.8,3,Sport en salle
19.2,0.2,16.9,83.3,1,Balade à vélo
27.2,0.0,14.2,55.9,0,Barbecue
19.1,1.2,9.7,82.8,1,Randonnée en forêt
23.8,0.0,5.7,31.8,0,Barbecue
23.1,0.4,3.6,83.5,1,Balade à vélo
4.8,13.3,10.9,75.7,3,Sport en salle
17.5,0.4,4.2,80.2,1,Balade à vélo
24.0,1.2,7.7,82.8,1,Balade en ville
-4.6,2.2,35.3,73.2,2,Sport en salle
15.8,0.1,0.6,90.7,1,Balade à vélo
12.3,0.1,3.3,79.7,1,Randonnée en forêt
20.3,0.3,2.1,70.5,1,Balade à vélo
14.8,0.0,15.7,50.3,0,Balade en ville
25.5,0.0,0.5,47.7,0,Pique-nique au parc
16.8,6.9,55.6,70.8,3,Cinéma
21.7,0.0,12.4,57.5,0,Barbecue
16.7,0.1,19.3,71.6,1,Randonnée en forêt
26.0,0.0,1.2,58.2,0,Pique-nique au parc
16.9,1.3,2.9,80.4,1,Balade en ville
17.3,0.7,17.6,70.5,1,Randonnée en forêt
-7.6,11.6,27.2,70.8,3,Sport en salle
15.5,2.5,11.9,81.7,1,Balade en ville
9.3,5.0,59.4,74.3,2,Sport en salle
28.7,0.0,4.5,40.5,0,Barbecue
22.7,0.0,4.7,31.5,0,Pique-nique au parc
21.0,0.0,13.0,41.7,0,Pique-nique au parc
7.1,12.1,56.1,93.0,3,Sport en salle
10.7,8.2,43.2,78.1,3,Sport en salle
27.9,14.6,62.2,71.1,3,Cinéma
10.6,0.7,11.5,85.6,1,Randonnée en forêt
16.7,0.0,16.9,43.3,0,Balade à vélo
9.4,2.2,62.6,81.7,2,Sport en salle
-9.4,13.9,19.0,79.6,3,Sport en salle
0.2,10.0,23.6,79.9,3,Musée / Expo
13.8,0.1,16.9,73.9,1,Randonnée en forêt
16.0,1.7,27.0,77.2,1,Balade en ville
3.5,8.3,64.3,90.7,3,Cinéma
29.6,0.0,6.8,63.3,0,Pique-nique au parc
30.4,0.0,13.1,49.5,0,Pique-nique au parc
18.9,0.0,8.8,45.4,0,Pique-nique au parc
27.6,12.9,22.7,83.3,3,Cinéma
25.8,0.0,13.8,47.2,0,Pique-nique au parc
11.9,0.1,5.5,80.1,1,Randonnée en forêt
16.4,1.0,24.7,74.5,1,Randonnée en forêt
11.4,3.4,19.2,85.4,2,Musée / Expo
2.7,13.8,23.0,76.2,3,Cinéma
29.7,0.0,9.6,64.9,0,Pique-nique au parc
11.3,1.0,2.0,84.2,1,Balade en ville
7.1,8.5,27.9,72.9,3,Musée / Expo
22.1,0.6,6.4,72.6,1,Balade en ville
4.2,5.1,70.6,89.2,3,Sport en salle
30.8,0.0,9.2,49.3,0,Pique-nique au parc
8.3,13.2,38.7,90.7,3,Cinéma
3.8,8.2,37.4,70.7,3,Musée / Expo
23.2,0.1,16.9,73.8,1,Balade à vélo
-6.5,8.0,63.0,77.7,3,Sport en salle
20.6,0.1,16.8,72.3,1,Balade à vélo
18.1,0.2,0.4,74.6,1,Balade en ville
20.0,0.0,6.2,48.3,0,Pique-nique au parc
-3.1,5.1,45.7,93.7,3,Cinéma
32.9,0.0,14.1,51.6,0,Barbecue
14.3,0.6,0.0,91.3,1,Randonnée en forêt
6.7,7.5,29.2,74.1,3,Musée / Expo
19.4,0.7,21.2,76.0,1,Randonnée en forêt
14.8,6.7,26.2,90.9,3,Cinéma
16.1,0.0,14.2,31.5,0,Balade à vélo
9.2,4.8,52.8,79.6,2,Sport en salle
26.9,6.9,65.6,91.8,3,Cinéma
8.2,9.4,19.3,86.5,3,Sport en salle
18.5,6.0,37.8,87.4,3,Cinéma
19.9,1.2,17.1,90.0,1,Randonnée en forêt
17.7,1.6,19.0,78.1,1,Balade en ville
20.2,1.2,11.9,87.2,1,Randonnée en forêt
16.8,6.6,61.7,79.7,3,Cinéma
21.4,0.0,10.6,34.8,0,Barbecue
20.6,1.4,8.9,73.3,1,Randonnée en forêt
18.5,0.4,16.6,90.1,1,Balade à vélo
-0.5,11.5,25.8,71.0,3,Cinéma
11.8,2.3,6.3,91.4,1,Balade en ville
20.2,0.6,3.1,88.6,1,Balade en ville
25.2,0.0,1.1,64.4,0,Barbecue
14.8,4.9,25.9,82.4,2,Musée / Expo
13.0,2.7,12.5,94.6,2,Musée / Expo
12.1,0.2,3.6,87.3,1,Randonnée en forêt
14.1,1.7,4.9,75.2,1,Balade en ville
-3.3,6.3,12.2,84.4,3,Sport en salle
11.1,9.0,31.0,84.6,3,Sport en salle
17.6,0.7,29.5,87.8,1,Balade en ville
20.5,0.1,5.5,88.4,1,Balade à vélo
17.4,0.1,6.1,75.5,1,Balade à vélo
1.8,1.6,21.4,88.0,2,Musée / Expo
17.6,0.1,7.3,75.2,1,Balade à vélo
19.3,1.0,1.9,90.0,1,Randonnée en forêt
18.4,0.4,16.6,84.7,1,Randonnée en forêt
21.9,2.5,8.4,80.3,1,Balade en ville
26.9,0.0,1.8,30.9,0,Barbecue
13.4,2.2,38.4,91.2,2,Musée / Expo
22.5,0.3,7.6,76.4,1,Balade à vélo
14.1,0.7,13.6,83.5,1,Randonnée en forêt
3.0,10.7,32.7,93.9,3,Sport en salle
18.7,1.5,27.7,83.5,1,Balade en ville
13.6,2.1,24.5,90.3,1,Balade en ville
20.1,0.0,3.7,42.5,0,Barbecue
18.8,0.5,14.8,87.6,1,Balade en ville
34.2,0.0,15.0,53.6,0,Barbecue
19.3,0.0,10.6,63.6,0,Pique-nique au parc
17.8,0.7,1.0,88.0,1,Randonnée en forêt
13.8,2.7,20.7,86.3,2,Musée / Expo
15.2,5.6,37.2,94.4,3,Cinéma
29.6,0.0,2.2,58.6,0,Barbecue
19.9,0.3,14.8,81.7,1,Balade à vélo
24.4,0.4,5.3,84.3,1,Balade à vélo
25.0,0.5,6.4,90.5,1,Balade à vélo
18.2,8.4,46.6,75.6,3,Cinéma
10.6,1.6,29.2,93.2,1,Balade en ville
20.6,1.4,7.6,90.6,1,Randonnée en forêt
2.7,4.7,31.9,87.7,2,Sport en salle
23.6,0.0,7.9,64.0,0,Barbecue
25.9,0.0,1.2,49.4,0,Barbecue
20.5,0.0,9.1,64.1,0,Barbecue
14.2,0.9,10.1,94.2,1,Randonnée en forêt
14.3,8.3,35.6,85.6,3,Musée / Expo
-0.9,8.2,16.3,75.3,3,Sport en salle
26.7,0.0,5.6,59.9,0,Barbecue
15.6,0.7,23.5,81.5,1,Randonnée en forêt
20.1,0.0,4.3,64.1,0,Pique-nique au parc
3.0,3.1,14.9,87.3,2,Sport en salle
19.9,0.0,7.0,43.7,0,Pique-nique au parc
27.7,0.0,10.7,57.9,0,Pique-nique au parc
18.4,0.0,8.6,59.1,0,Pique-nique au parc
21.4,8.4,40.1,94.0,3,Cinéma
16.3,1.4,2.1,79.5,1,Randonnée en forêt
16.5,0.6,2.1,93.4,1,Randonnée en forêt
27.7,0.0,13.3,60.3,0,Pique-nique au parc
20.6,0.0,0.1,60.8,0,Barbecue
27.2,7.4,51.6,91.8,3,Cinéma
16.5,0.3,17.2,85.8,1,Balade à vélo
16.6,0.1,12.6,92.0,1,Randonnée en forêt
24.1,0.0,11.8,53.7,0,Barbecue
28.2,0.0,3.1,55.8,0,Barbecue
21.5,12.2,23.7,74.8,3,Cinéma
18.8,0.0,8.5,33.2,0,Pique-nique au parc
2.5,5.6,47.2,74.5,3,Sport en salle
20.5,0.0,0.6,49.5,0,Barbecue
0.8,6.3,37.5,87.0,3,Musée / Expo
33.9,0.0,2.0,32.7,0,Barbecue
-2.8,13.6,49.6,71.0,3,Sport en salle
23.0,0.1,13.8,92.3,1,Balade à vélo
14.4,10.9,44.0,89.2,3,Cinéma
17.4,0.1,17.9,79.9,1,Balade à vélo
11.3,2.3,40.3,88.1,2,Sport en salle
26.3,14.3,43.1,79.0,3,Cinéma
21.0,0.1,5.3,71.9,1,Balade en ville
31.2,0.0,9.5,35.7,0,Barbecue
33.5,0.0,8.6,63.3,0,Barbecue
21.3,0.9,14.2,85.8,1,Randonnée en forêt
-0.3,6.1,17.5,84.4,3,Musée / Expo
11.8,0.2,4.7,77.8,1,Randonnée en forêt
6.3,2.2,36.0,80.9,2,Musée / Expo
19.9,0.0,5.0,35.8,0,Pique-nique au parc
21.1,0.3,9.1,83.9,1,Balade à vélo
33.8,0.0,2.6,48.7,0,Barbecue
6.4,4.8,18.0,93.8,2,Musée / Expo
29.4,0.0,11.2,50.1,0,Pique-nique au parc
-4.8,5.2,15.9,91.2,3,Sport en salle
19.2,0.5,15.3,86.4,1,Balade à vélo
27.9,0.0,1.0,50.1,0,Barbecue
18.3,0.4,2.2,90.3,1,Balade à vélo
13.1,1.9,4.9,91.6,1,Balade en ville
22.3,14.0,64.1,91.5,3,Cinéma
20.8,0.1,12.4,85.3,1,Balade à vélo
15.4,9.5,54.8,71.9,3,Cinéma
12.7,2.0,16.6,84.7,1,Balade en ville
-3.2,2.2,39.2,78.1,2,Musée / Expo
31.6,0.0,0.9,33.1,0,Pique-nique au parc
16.9,0.1,2.7,84.5,1,Balade à vélo
32.7,0.0,5.4,54.2,0,Barbecue
-4.4,10.8,56.0,81.7,3,Cinéma
8.6,4.4,46.6,94.1,2,Sport en salle
7.1,4.4,63.4,84.8,2,Sport en salle
28.0,0.0,7.6,54.6,0,Barbecue
6.3,9.2,16.9,75.7,3,Musée / Expo
14.8,0.2,14.8,85.6,1,Randonnée en forêt
19.0,0.1,10.3,73.5,1,Balade à vélo
-5.5,9.1,19.6,74.9,3,Sport en salle
5.5,5.5,16.2,76.0,3,Musée / Expo
14.9,2.2,19.9,77.6,2,Musée / Expo
11.4,2.0,5.6,73.3,1,Balade en ville
17.4,0.3,11.1,73.5,1,Balade à vélo
-2.2,9.8,43.5,91.6,3,Sport en salle
23.3,0.3,8.6,88.6,1,Balade en ville
8.3,9.3,14.7,81.8,3,Musée / Expo
25.0,0.0,9.3,43.4,0,Balade à vélo
0.6,6.3,75.5,70.4,3,Sport en salle
-2.5,1.9,10.5,74.8,2,Musée / Expo
-2.5,9.4,16.9,82.9,3,Musée / Expo
-0.2,6.8,28.7,74.6,3,Sport en salle
23.4,0.5,8.0,76.0,1,Balade à vélo
13.4,9.3,23.6,77.0,3,Musée / Expo
-4.3,8.9,22.8,89.5,3,Musée / Expo
19.4,1.1,12.7,80.0,1,Balade en ville
29.3,0.0,10.0,63.9,0,Barbecue
13.0,0.9,14.1,83.8,1,Balade en ville
23.3,2.1,14.0,74.4,1,Balade en ville
12.1,7.6,21.0,71.5,3,Musée / Expo
8.4,3.1,33.0,80.9,2,Sport en salle
19.1,1.2,11.9,79.2,1,Randonnée en forêt
26.3,10.0,29.8,83.2,3,Cinéma
31.2,0.0,10.0,54.3,0,Pique-nique au parc
21.4,0.0,13.2,38.6,0,Pique-nique au parc
23.6,2.3,13.7,76.1,1,Balade en ville
15.2,7.6,68.3,94.2,3,Cinéma
-0.8,5.8,34.2,72.8,3,Musée / Expo
-4.9,5.5,38.2,89.8,3,Musée / Expo
17.9,0.9,6.9,89.0,1,Randonnée en forêt
13.9,1.9,8.7,93.5,1,Balade en ville
10.2,5.5,22.6,79.2,3,Musée / Expo
20.2,0.0,6.0,61.5,0,Pique-nique au parc
24.9,0.3,4.5,72.9,1,Balade à vélo
11.5,0.0,2.3,53.2,0,Randonnée en forêt
4.1,2.3,34.9,89.2,2,Musée / Expo
20.4,0.0,5.4,46.4,0,Barbecue
8.9,4.3,15.7,78.0,2,Musée / Expo
7.4,8.4,26.2,83.2,3,Sport en salle
-8.8,5.9,58.0,79.8,3,Sport en salle
0.1,6.4,19.1,87.3,3,Musée / Expo
21.0,2.2,6.7,79.0,1,Balade en ville
11.9,0.6,18.2,71.1,1,Randonnée en forêt
17.7,0.5,1.7,86.7,1,Balade à vélo
23.4,0.0,7.8,58.8,0,Pique-nique au parc
17.8,0.6,14.3,77.9,1,Randonnée en forêt
22.6,1.8,19.6,85.9,1,Balade en ville
4.4,1.6,16.6,80.2,2,Musée / Expo
17.8,1.1,6.8,85.3,1,Randonnée en forêt
16.7,0.2,1.7,78.6,1,Balade à vélo
28.9,0.0,11.7,64.0,0,Barbecue
29.3,0.0,13.0,40.3,0,Barbecue
28.9,0.0,9.6,60.4,0,Barbecue
19.5,0.0,5.7,32.3,0,Pique-nique au parc
10.5,14.6,23.7,81.4,3,Cinéma
27.7,0.0,14.0,63.5,0,Barbecue
20.6,0.0,11.1,39.9,0,Pique-nique au parc
5.5,11.8,37.0,93.6,3,Sport en salle
15.4,0.6,18.1,76.5,1,Randonnée en forêt
-4.0,6.0,79.2,76.1,3,Sport en salle
13.8,1.1,17.3,77.3,1,Randonnée en forêt
22.1,0.0,4.0,39.4,0,Pique-nique au parc
17.1,0.1,0.4,89.5,1,Balade à vélo
-2.1,2.6,26.7,83.4,2,Musée / Expo
15.8,0.3,13.1,77.7,1,Balade à vélo
23.8,0.0,1.7,62.6,0,Pique-nique au parc
22.0,0.0,7.1,30.8,0,Barbecue
18.4,0.1,2.9,77.5,1,Balade à vélo
18.7,0.3,13.7,70.7,1,Balade à vélo
19.2,0.2,1.2,91.8,1,Balade à vélo
10.6,9.5,15.5,83.8,3,Musée / Expo
32.0,0.0,1.0,54.5,0,Barbecue
9.9,3.2,22.9,76.2,2,Sport en salle
21.5,2.3,16.4,78.8,1,Balade en ville
22.0,0.4,15.2,70.2,1,Balade à vélo
17.3,12.0,22.3,74.4,3,Cinéma
-3.2,3.6,14.5,79.4,2,Musée / Expo
2.7,6.4,17.6,83.4,3,Sport en salle
2.9,10.4,62.3,88.5,3,Cinéma
19.4,0.4,13.0,70.7,1,Balade à vélo
15.8,1.1,4.3,94.9,1,Balade en ville
20.4,0.2,2.5,72.0,1,Balade à vélo
20.1,0.0,10.7,57.4,0,Barbecue
28.4,0.0,3.2,56.4,0,Pique-nique au parc
2.5,3.7,37.8,71.5,2,Musée / Expo
21.6,0.0,8.0,62.5,0,Pique-nique au parc
18.8,0.0,14.4,51.3,0,Pique-nique au parc
22.3,0.0,13.1,51.1,0,Barbecue
20.1,0.4,2.7,81.0,1,Balade en ville
-3.2,6.6,39.6,74.3,3,Musée / Expo
18.3,0.0,5.1,51.6,0,Pique-nique au parc
-1.6,10.1,52.7,79.5,3,Sport en salle
24.5,0.0,7.4,44.8,0,Pique-nique au parc
34.2,0.0,13.6,30.8,0,Barbecue
32.1,9.2,41.4,88.7,3,Cinéma
26.5,0.0,2.8,61.2,0,Pique-nique au parc
17.8,0.9,6.8,74.2,1,Randonnée en forêt
19.5,0.2,13.5,73.8,1,Balade à vélo
12.9,1.0,7.1,91.0,1,Balade en ville
5.0,4.4,71.9,88.3,2,Sport en salle
13.6,4.6,33.4,70.0,2,Musée / Expo
24.4,0.0,13.8,42.9,0,Pique-nique au parc
11.6,0.1,12.5,81.4,1,Randonnée en forêt
3.7,4.4,25.4,76.1,2,Musée / Expo
17.9,1.0,16.7,91.8,1,Randonnée en forêt
5.6,4.1,10.2,83.8,2,Musée / Expo
12.3,1.1,22.8,87.5,1,Randonnée en forêt
19.9,1.2,1.2,73.5,1,Randonnée en forêt
25.3,0.0,14.0,53.9,0,Pique-nique au parc
10.4,8.3,57.1,92.7,3,Cinéma
-2.9,12.9,21.1,74.3,3,Sport en salle
22.4,0.0,5.1,52.0,0,Pique-nique au parc
25.0,0.0,1.8,57.5,0,Pique-nique au parc
17.4,9.8,49.6,70.5,3,Cinéma
